HYD_YEAR,Q
3564,6477.6
3565,7236.22
3566,13998.14
3567,6735.19
3568,2861.42
3569,7641.26
3570,3859.25
3571,4702.5
3572,6089.6
3573,9107.86
3574,4963.48
3575,4960.99
3576,5750.04
3577,3471.55
3578,4895.55
3579,12238.32
3580,4259.58
3581,8122.66
3582,5928.53
3583,5958.6
3584,8055.71
3585,9175.43
3586,5268.51
3587,8874.96
3588,6507.58
3589,7567.44
3590,5447.47
3591,5287.22
3592,4362.13
3593,10128.18
3594,12814.41
3595,4367.5
3596,4072.02
3597,6139.9
3598,5615.77
3599,7772.77
3600,3504.92
3601,3661.39
3602,8784.18
3603,4738.86
3604,8234.16
3605,4690.06
3606,6584.75
3607,4420.86
3608,4774.3
3609,3581.02
3610,7149.16
3611,6919.65
3612,3513.12
3613,7355.86
3614,6874.0
3615,3765.43
3616,4435.84
3617,4941.17
3618,6879.79
3619,5864.46
3620,2877.98
3621,8613.0
3622,6210.26
3623,2859.11
3624,7422.89
3625,5238.78
3626,6447.11
3627,5635.47
3628,10146.53
3629,5528.76
3630,7044.4
3631,8553.07
3632,5999.56
3633,6717.77
3634,7582.09
3635,7971.96
3636,5646.75
3637,7476.47
3638,6881.12
3639,3307.07
3640,4182.67
3641,7970.09
3642,3041.42
3643,4546.19
3644,8295.74
3645,6246.26
3646,4807.79
3647,6637.29
3648,6197.42
3649,4598.12
3650,4336.32
3651,4399.23
3652,4764.64
3653,4659.65
3654,7592.0
3655,8071.57
3656,8349.86
3657,5881.46
3658,5381.84
3659,9391.81
3660,5067.99
3661,6477.1
3662,6996.05
3663,6029.57
3664,4290.8
3665,5013.78
3666,10067.46
3667,11657.29
3668,4470.59
3669,9412.32
3670,4730.28
3671,5299.71
3672,2254.37
3673,5184.93
3674,8182.29
3675,7945.92
3676,5881.44
3677,5478.77
3678,6490.64
3679,5327.75
3680,5495.99
3681,8385.1
3682,5432.44
3683,2294.39
3684,5611.34
3685,5954.28
3686,6940.85
3687,4268.09
3688,6584.56
3689,3816.58
3690,5248.03
3691,10164.09
3692,3416.65
3693,5130.52
3694,8872.76
3695,7799.9
3696,5045.69
3697,4742.93
3698,4685.28
3699,4178.75
3700,3855.61
3701,3868.91
3702,5699.17
3703,8946.76
3704,7319.16
3705,10023.21
3706,7279.33
3707,3921.22
3708,6426.79
3709,7997.73
3710,5650.95
3711,3920.73
3712,5365.83
3713,3448.52
3714,7463.41
3715,8583.17
3716,4200.15
3717,6248.8
3718,6690.86
3719,5286.01
3720,6423.68
3721,3621.26
3722,8089.28
3723,7043.06
3724,9833.46
3725,7126.51
3726,4820.42
3727,3408.26
3728,8176.46
3729,6200.65
3730,11571.51
3731,6440.35
3732,8389.48
3733,7016.95
3734,6507.65
3735,12094.25
3736,9262.11
3737,7708.52
3738,6914.47
3739,3183.47
3740,13016.57
